productcategory,productbrand,productprice,customerage,customergender,purchasefrequency,customersatisfaction,purchaseintent
4,0,2487.8792930551213,57,1,17,2,1
4,2,1261.535157368096,65,1,10,5,1
0,4,109.28990807512898,37,1,14,4,1
4,0,2506.175754907102,55,1,15,4,1
2,0,2679.3341228366403,64,0,13,1,0
3,1,1237.469184528068,48,0,3,2,0
2,1,2679.3034245803124,25,1,14,4,1
1,4,409.9001007860951,46,0,19,1,0
4,4,1505.0060063198766,27,1,14,2,0
2,2,223.06840256621987,55,0,13,5,1
2,4,1374.365141788454,48,1,11,4,1
4,0,1505.999434916964,53,1,12,3,1
4,3,1678.637668454201,30,1,16,3,0
4,3,224.4303474526278,51,0,13,2,0
4,0,2509.9505692922,50,0,18,3,0
0,0,1186.2486718027965,47,1,5,5,1
2,4,2866.7931990800776,69,1,3,2,1
4,1,2761.429390181537,45,0,11,4,1
0,1,2335.0390105651386,53,0,1,3,0
2,2,1531.7353152746998,64,1,9,3,1
0,3,2315.520847632006,25,0,12,2,0
3,3,2775.551511545713,56,1,15,4,1
4,1,853.2988944490827,58,1,18,5,1
0,2,576.7247113478368,28,1,5,5,1
4,3,492.36298431923336,42,1,17,4,1
2,3,2403.957553340061,65,0,4,2,0
1,2,2709.9467523392004,63,0,17,4,1
4,0,1966.8083835418656,45,0,15,1,0
0,2,1950.151112343442,30,0,19,2,0
2,4,2765.738305392524,56,1,8,2,1
3,1,1929.695531820776,25,0,4,5,0
0,2,2843.819525046022,25,0,19,5,0
4,2,2315.6767355229026,21,1,16,3,0
0,3,1478.5295189680994,45,0,18,3,0
3,4,2432.4615991254886,53,1,13,1,1
0,3,2584.5296482255976,38,0,9,1,0
0,1,1984.015783673458,67,1,14,3,1
1,1,1395.0931103444625,31,0,4,4,1
4,2,2096.721431458816,46,0,14,3,0
3,1,2446.9218997818625,46,0,7,4,1
1,1,1479.706109542381,38,1,6,5,1
2,2,2578.6241108513013,56,0,16,1,0
0,4,565.0344341017734,20,0,7,3,0
0,2,1615.6047000199003,19,1,12,2,0
1,4,1375.7755520320643,33,1,7,3,1
1,2,1704.3833056430387,47,0,8,3,0
4,0,2566.6971184307254,21,1,2,3,0
1,3,2574.2493744621306,60,1,8,5,1
4,0,1019.437435539791,28,1,6,3,0
2,0,1405.3517096508644,28,0,10,2,0
3,2,772.3063687282204,18,1,11,2,0
1,0,2723.05536813472,48,0,17,1,0
3,2,383.8143936346533,60,1,10,3,1
4,3,1913.8773969026108,27,0,11,2,0
2,0,2782.6474891245784,32,0,19,5,1
1,3,466.8312032042271,42,1,18,4,1
1,1,1048.8250188239565,51,0,3,5,1
2,0,1806.0570221521637,49,0,8,2,0
3,3,2865.1876590026327,65,1,7,5,1
1,3,1481.546199983753,42,0,18,4,1
2,4,233.2655319086016,36,1,11,2,1
1,1,2090.798833907924,66,1,18,5,1
0,1,1468.9669599162746,33,0,14,1,0
4,1,731.4370941764115,19,1,19,3,0
0,2,2983.494261829323,41,0,11,2,0
1,0,1997.9179888285207,38,0,10,4,1
1,2,1206.7120470825023,20,0,1,1,0
0,4,1752.1573382093582,51,1,6,3,1
1,0,936.4659101132988,58,0,10,4,1
2,2,420.5019849113127,60,0,13,5,1
1,4,2291.5266503266093,66,1,17,1,1
2,1,2441.3913968901543,59,0,1,4,1
3,2,345.794948671479,23,1,8,4,1
4,3,832.2568828364172,55,1,7,3,1
3,1,1667.943513750575,18,1,19,5,1
0,1,330.12003630302024,47,1,8,1,1
2,4,2884.8734423338365,50,0,11,5,1
2,3,162.87623923022613,40,1,8,5,1
4,1,1636.489675630084,42,0,19,4,1
4,0,1402.744497621219,57,0,8,4,1
3,1,1951.518407666512,21,1,10,3,0
1,1,1909.92069511967,26,1,18,3,0
1,1,351.3871156538159,69,0,8,1,0
4,2,1488.2453992869573,56,1,3,1,1
1,4,1674.8073744116757,45,1,7,1,1
2,3,782.2358143367167,39,1,4,3,1
4,4,400.464165086736,42,1,19,2,1
4,2,1508.4845582598707,50,0,5,3,0
4,3,906.067430346667,67,0,2,2,0
4,4,510.1413418549664,21,1,13,1,0
4,0,2994.1742125666256,22,1,4,3,0
3,3,979.329985871985,58,0,5,3,0
0,1,941.6391260814772,34,0,3,5,1
0,4,139.04013446607513,38,1,4,1,1
2,1,785.5687269456176,25,0,15,4,0
1,0,1152.8754139299526,30,0,12,1,0
1,2,178.22928714724907,25,0,15,4,0
0,0,2971.874535398601,27,1,15,3,0
0,0,2195.7516492435866,42,1,3,3,1
2,1,1222.9421230104956,47,0,17,3,0
3,0,2834.336365745032,20,0,19,2,0
0,1,2805.299985108147,26,0,4,5,0
3,1,1993.7769194596656,51,0,5,1,0
4,0,2132.557084721233,48,1,10,3,1
2,1,2150.786710238623,68,0,1,3,0
4,1,2303.051475189634,52,0,18,4,1
4,2,2573.580671347022,47,1,12,2,1
1,2,1745.2160111116443,61,0,7,4,1
2,3,2348.4476811506324,57,1,12,4,1
2,2,1663.5696464275418,23,0,1,4,0
0,4,1861.0008021508352,58,1,12,3,1
4,2,1107.5641068472332,24,1,5,1,0
3,2,1825.6501063808912,54,1,10,5,1
3,3,1815.5627424331751,19,0,19,5,0
3,3,2423.392159911244,48,1,13,3,1
0,0,1782.2762993894548,62,0,6,3,0
4,2,1289.6172730143346,57,0,3,1,0
2,2,1210.3090460888272,50,1,7,3,1
1,2,2652.6372495098585,18,1,13,5,1
0,1,1520.821630356429,19,1,3,3,0
0,4,2342.989265316976,23,0,1,1,0
4,4,1639.669208427792,54,1,19,3,1
0,1,2329.405276066154,40,1,3,1,1
3,1,889.5237021781904,51,1,2,3,1
4,3,1852.9166018936332,28,0,7,4,0
3,3,1447.53041866861,54,0,3,2,0
0,1,909.5710225089148,25,0,16,5,0
4,2,2723.021744258752,50,0,10,4,1
4,4,2939.851329852623,39,1,12,3,1
3,1,1232.2919512767892,44,0,14,1,0
0,0,206.04328427409047,52,1,16,5,1
2,0,878.5841271051249,31,0,17,3,0
4,3,682.7500198796579,52,0,11,1,0
4,3,1096.9299549052264,39,0,13,1,0
4,0,2897.5463171220085,62,0,9,1,0
4,2,287.64174136547666,42,0,2,2,0
2,1,2950.631473718646,48,0,1,5,1
4,4,1313.8525676031363,53,1,8,3,1
3,1,2256.76514936796,53,1,3,4,1
1,1,1437.68682077672,69,1,5,3,1
3,4,1887.3864881556308,50,1,9,3,1
0,3,698.3098589845557,45,1,4,4,1
4,4,1854.035494023068,35,0,6,2,0
3,2,1909.2403601008875,31,0,16,1,0
2,3,1315.8592891095043,52,0,9,1,0
1,0,2737.20809694937,40,0,6,2,0
4,1,1060.3989315014037,23,1,15,5,1
2,2,150.1229098047285,23,1,10,3,0
1,1,2460.0253275789883,46,1,13,1,1
4,4,401.8987847703025,40,0,14,1,0
3,4,2760.17903975797,61,0,8,3,0
2,3,643.5258687199777,47,0,17,1,0
4,0,2000.112167937795,58,0,16,5,1
1,0,893.7275241651945,41,1,2,1,1
1,2,1727.687007782515,53,1,15,4,1
1,1,1958.0512066643823,69,0,13,2,0
2,3,2633.152466806863,59,1,15,1,1
3,3,2067.063196913815,27,0,7,5,0
1,2,1722.1063320379726,34,1,17,2,1
1,2,1035.9558426552812,57,0,4,1,0
1,4,1216.6023794419723,58,1,16,3,1
1,2,2078.3751507687184,33,1,7,1,1
0,1,2298.167263692667,43,0,10,5,1
4,2,2170.241094657143,39,1,15,5,1
1,1,2855.402291470048,52,0,1,1,0
2,2,2033.833501103652,55,1,3,1,1
1,3,2442.850601831581,63,1,18,5,1
4,2,1135.8973641379323,43,1,14,3,1
1,2,1895.501849112028,52,0,19,4,1
1,1,1113.486262822688,33,0,13,1,0
2,2,1596.915321700838,60,0,7,4,1
0,1,2190.2000996737465,31,1,18,4,1
4,0,2383.316886537613,50,1,18,1,1
1,2,1606.6135032748168,25,0,1,2,0
4,4,144.10891955916554,38,0,9,2,0
4,3,894.964152034135,18,0,7,2,0
1,3,743.1162539791837,49,0,18,2,0
4,0,2573.5312038552893,31,0,15,3,0
1,2,2056.106676784643,50,1,16,1,1
0,3,1357.130800434794,31,1,16,4,1
1,2,1041.744225885516,67,0,15,5,1
4,4,1263.2760528828635,21,1,16,1,0
2,4,1946.4266803740852,68,1,15,5,1
4,4,2127.800927299534,58,1,5,2,1
0,2,752.9558720085558,61,1,2,3,1
3,3,1113.521454347736,36,1,6,4,1
3,0,1541.380253135379,41,1,2,3,1
0,1,2691.3195749173788,56,0,11,4,1
3,0,305.2419232059764,18,0,16,4,0
3,0,2004.5072629270949,52,0,2,2,0
0,0,631.2060542250263,58,1,6,3,1
4,0,1668.0065950471771,33,1,7,4,1
0,1,306.0850443644377,47,0,14,4,1
1,4,2786.2189940034777,38,0,7,2,0
1,2,2437.496069816139,18,1,11,1,0
1,3,2285.8923543161404,58,1,14,1,1
1,2,1908.8110170317048,18,1,5,5,1
2,2,1872.5148672302244,22,0,16,1,0
2,1,1909.155379136824,40,0,11,5,1
3,4,2920.143852968892,35,0,14,3,0
4,3,400.1667384346393,19,0,7,2,0
2,1,2409.107154605812,29,1,2,3,0
4,0,141.50328849198087,18,1,13,1,0
4,4,2729.6660387787315,36,1,2,3,1
4,2,2330.699143373209,45,1,6,3,1
4,1,2250.6901185315305,18,0,19,4,0
1,1,864.7020927380277,59,1,15,3,1
1,1,1879.627990897492,54,0,15,4,1
0,4,503.1329167031725,61,1,2,2,1
0,2,2247.6993186312548,31,0,14,2,0
3,0,2719.2368895306504,36,1,3,5,1
4,3,1344.4896637162492,64,1,10,3,1
1,0,733.0443794175014,44,1,13,4,1
2,3,614.7603601751732,57,1,19,2,1
2,0,1759.9320488955975,33,1,14,3,1
4,1,287.073233047602,19,0,3,1,0
0,1,2073.6638301065777,68,0,6,4,1
4,4,1134.9222627812685,20,1,14,2,0
4,1,1506.7137537920432,63,1,19,4,1
4,2,466.3964118000653,30,0,9,4,0
2,4,1068.4373791064718,21,0,17,3,0
2,3,558.9930014860902,24,1,6,3,0
2,1,1518.9957788426814,69,0,9,1,0
0,3,2417.1205321652064,31,0,8,1,0
0,0,502.4024060281672,49,0,13,4,1
2,1,1377.9084335957912,48,1,2,2,1
0,1,234.6492548635084,45,0,16,2,0
4,2,248.2459001027345,21,1,5,3,0
0,4,616.5152934185354,24,1,2,1,0
4,0,2042.5706142109275,59,0,17,2,0
4,4,1053.4856930544845,54,0,17,3,0
0,0,2759.443938307891,54,1,13,4,1
4,4,548.8076048570358,21,1,1,1,0
3,4,541.1608440896716,65,1,13,1,1
3,4,2631.290206236958,29,0,7,3,0
0,3,954.3204959371412,28,1,16,1,0
0,1,1747.4311972818894,32,0,12,4,1
3,4,1947.5716926642208,34,1,4,2,1
0,4,1474.4139371842914,37,1,1,3,1
0,2,2565.006875990457,44,1,15,5,1
1,1,729.0774490097754,37,1,11,4,1
2,4,234.38461081838952,32,1,5,2,1
0,3,1828.5142039140944,20,1,15,3,0
2,0,147.86522490401146,57,1,15,3,1
2,4,2698.6241308476115,51,1,3,1,1
0,3,2351.4153454801526,28,0,1,4,0
2,4,2428.6594354410167,43,1,9,5,1
1,2,1050.9366269067089,56,0,2,1,0
3,2,856.3016241537734,18,0,7,3,0
1,2,1117.9322486257302,43,1,14,2,1
4,2,2359.889069462686,28,1,3,2,0
0,0,1153.8597444627526,64,1,6,1,1
1,2,1526.1321580719653,67,1,1,5,1
4,3,2434.657802132524,54,0,11,3,0
1,3,2164.1356396925808,63,1,2,1,1
2,4,489.0845570297506,33,0,8,3,0
4,3,1396.3707649774385,68,0,18,3,0
1,1,1577.8594560958163,25,1,7,2,0
3,0,1369.2958726832512,19,0,11,2,0
4,0,957.9811806866842,52,1,18,4,1
3,0,909.1284396132812,20,1,6,2,0
0,1,1602.5361316830115,48,1,13,2,1
0,4,749.9971128269593,59,0,1,4,1
1,3,493.2402862131297,68,1,9,4,1
4,2,2181.193753026578,38,1,11,5,1
4,3,2964.483999972633,64,0,15,2,0
2,0,481.4994235667157,64,0,6,3,0
0,0,392.85851852355,35,1,16,1,1
4,4,1085.9168537602618,60,1,14,4,1
0,4,2425.492177716275,23,1,1,1,0
2,2,2315.0462879989745,43,0,6,5,1
3,1,2704.6716776630024,55,1,12,2,1
0,3,742.4232773944391,31,1,18,3,1
2,2,1900.3592581713533,60,0,1,3,0
4,0,2559.709720154385,56,1,7,2,1
2,3,2391.296268645143,41,0,5,4,1
0,2,2056.14274470161,62,1,17,3,1
2,1,2700.9742506853886,32,1,7,2,1
2,0,2349.128303809005,57,0,8,2,0
1,3,2329.204374614054,62,0,19,2,0
3,3,1620.870758360311,33,0,1,1,0
4,3,146.64023576379236,66,0,15,3,0
1,2,2261.7379227979554,58,1,4,5,1
0,4,2334.8808749629948,32,0,4,2,0
2,2,2969.924254704872,67,1,7,2,1
4,3,1827.565643050449,39,1,17,1,1
3,3,905.0791559499636,23,1,13,4,1
2,3,737.4244211040563,38,1,15,1,1
3,2,1142.8860109806087,38,0,16,3,0
1,1,2283.1671201020754,23,1,5,1,0
4,1,1434.0021034288457,23,0,9,5,0
1,3,1478.7443578894863,22,1,9,1,0
3,4,447.2202787438818,47,1,5,4,1
3,1,1092.302671064964,43,0,3,2,0
2,3,1629.1434185963892,25,1,4,2,0
4,0,1765.1836883485937,63,1,8,1,1
3,3,785.1301395096614,54,0,12,5,1
4,4,2823.829792538351,29,0,19,1,0
2,0,1983.5439325812572,21,1,6,1,0
1,4,235.08237388702997,51,0,3,5,1
2,4,2743.1499030002847,52,0,6,3,0
1,3,105.51729655236598,31,0,16,4,1
1,1,700.4863231416954,59,0,9,5,1
3,0,1458.531815514107,40,0,17,1,0
3,4,674.2047269824617,40,0,13,3,0
1,3,2576.7175081382784,58,1,18,5,1
2,1,2056.0212087960085,50,1,5,1,1
0,4,680.6557390451895,43,0,1,5,1
1,0,510.36311628537146,62,0,6,1,0
2,4,1887.8245194289527,42,1,6,3,1
0,4,1767.8369130458532,38,0,7,3,0
3,3,846.4880577496289,52,0,3,4,1
4,2,1097.9058937626733,49,0,7,3,0
4,1,2891.508845796347,50,0,2,5,1
3,0,223.0126104781877,24,0,18,3,0
2,2,1825.6795245745127,59,1,13,1,1
3,3,580.210298134067,61,1,5,4,1
0,3,672.5125591262165,61,0,16,5,1
1,2,2171.7499278766427,28,0,3,5,0
3,4,1826.048130758952,41,1,4,2,1
1,1,2443.5894459147216,49,1,3,1,1
4,3,461.6711286137131,59,1,18,3,1
3,3,2650.625999282717,25,0,9,4,0
2,1,1375.3584086995293,54,0,10,2,0
2,0,1375.64105681125,53,1,14,2,1
4,2,400.5706814918597,28,0,17,3,0
2,3,1249.229469190064,66,0,10,3,0
4,1,1475.6595747727497,57,1,19,5,1
2,2,516.3770629457176,64,1,5,5,1
0,0,1605.2963565778798,45,0,9,1,0
0,1,543.680291244988,40,1,12,2,1
2,0,2258.672539626075,57,1,15,3,1
2,1,1096.789473628632,58,1,13,4,1
1,4,2448.6625116409245,68,0,1,1,0
1,4,2962.2539992184998,30,1,5,5,1
3,3,2834.6084093820164,65,1,5,4,1
1,1,561.2255003843326,23,0,8,3,0
0,3,986.8348770604103,29,1,7,1,0
4,4,2367.8000017182862,65,0,15,5,1
0,4,1375.055649437845,44,1,3,1,1
2,1,2147.826171753404,37,0,3,1,0
4,0,2336.620202635077,69,1,11,3,1
1,1,1741.95415346367,33,1,11,4,1
3,1,1018.7458250710284,55,1,5,5,1
3,2,2645.1954963632165,25,1,7,2,0
3,3,508.72733926485216,46,1,2,4,1
2,1,110.26709061102534,46,1,1,3,1
4,2,2102.348723085321,68,0,2,3,0
2,3,1675.9165192294076,42,0,16,1,0
3,0,1764.8099460121623,28,1,7,4,1
3,4,623.6623058913146,27,1,16,5,1
0,4,2486.6972751538297,34,1,10,3,1
1,4,2345.4069580850014,36,0,17,3,0
2,1,2667.1624224703864,27,0,15,4,0
4,3,1003.1592753051636,27,0,9,5,0
1,3,248.8615517466092,52,0,9,3,0
4,2,905.7513403631904,53,1,13,2,1
4,3,1054.6658826855603,40,0,16,5,1
0,1,699.8201563401212,53,1,18,4,1
3,4,2371.534870950169,36,1,10,1,1
3,4,2763.5971033765227,41,1,18,2,1
2,3,1112.8179705274292,68,1,17,2,1
2,0,158.71809420111856,61,1,6,2,1
2,2,969.2203065825446,42,0,6,3,0
2,0,2385.646867975174,51,1,6,3,1
4,2,512.5711284903675,18,0,16,1,0
1,4,1218.161921793456,43,0,19,2,0
2,2,564.0865674220097,36,0,8,3,0
1,4,321.0001032797874,42,1,2,4,1
0,0,2039.455630533292,63,0,5,3,0
0,3,425.2356623593815,31,0,7,4,1
1,3,815.3948184767058,68,1,2,5,1
3,3,473.0164030347607,57,1,9,1,1
0,3,932.8891399288028,38,1,4,4,1
1,0,1074.0877100162718,63,1,16,5,1
3,1,2123.2038286263087,33,1,1,4,1
3,0,374.6957670013163,22,0,7,1,0
3,0,1564.8673205060245,36,0,5,1,0
1,1,1683.8534050514577,26,0,10,3,0
2,3,1232.5014825770097,46,1,11,2,1
3,0,682.2556840802595,42,0,6,2,0
2,1,2297.7738788982774,26,1,5,2,0
0,0,2836.314614531017,20,0,2,1,0
0,2,1880.1089743134617,50,0,17,2,0
3,0,2756.63676349982,40,0,13,5,1
4,3,1773.7318907796084,48,0,14,1,0
3,1,933.4270576631624,60,0,1,5,1
1,4,1226.567618616943,46,1,2,4,1
1,0,746.9179913252183,43,1,9,3,1
0,4,1375.7642457826823,29,0,14,5,0
0,2,1106.3122084641695,39,1,8,2,1
1,2,2876.3355737897264,69,1,17,3,1
4,2,440.7240407933784,48,1,7,5,1
2,2,2086.2852888145926,62,1,2,2,1
1,0,1270.4201542029102,37,0,18,4,1
0,0,2082.612545730102,23,0,8,2,0
0,2,427.11950008313926,62,1,17,4,1
2,0,662.6562164840468,52,1,13,1,1
2,3,2018.747088517377,45,1,5,3,1
3,2,1623.408205108453,18,0,4,3,0
3,2,333.28482854473395,26,0,14,5,0
0,0,252.93448714688972,56,1,5,5,1
2,2,1804.625123307324,43,0,16,3,0
4,1,2181.601923294225,62,0,13,4,1
2,3,403.1945088204001,52,1,17,5,1
1,4,717.2494984901097,25,0,16,1,0
2,4,2637.4644039809505,68,0,19,2,0
4,2,849.8871181504637,31,1,11,2,1
1,0,782.3448042209474,54,0,7,2,0
3,0,2026.5690557330051,31,0,1,2,0
1,1,2922.418067736689,57,1,8,3,1
0,4,603.5179302514398,40,0,3,4,1
0,0,817.5430282780337,40,0,2,4,1
4,1,556.4310034844261,23,1,5,4,1
2,0,525.5869019634222,24,0,1,3,0
0,2,2766.0066266610825,43,0,3,3,0
1,4,1187.5787361593625,41,1,10,1,1
4,0,2070.360452336311,49,0,13,5,1
4,4,1388.064294296956,63,0,16,3,0
1,3,2584.65568215923,21,1,18,1,0
4,1,319.2514972586671,33,1,7,2,1
4,2,1768.2672870476135,61,1,1,3,1
2,2,2623.010876801104,29,0,9,1,0
3,1,1199.696139602517,65,1,14,2,1
4,3,601.8621156629315,35,1,6,2,1
3,4,2051.811074211846,56,1,11,4,1
3,0,1700.1490995769614,40,1,14,4,1
0,4,2320.886032143377,41,1,9,1,1
4,0,1473.568475851529,61,1,13,4,1
0,3,419.2960231225935,66,0,6,4,1
3,2,2053.025645835952,29,0,17,2,0
3,2,443.7156599553777,23,0,2,2,0
1,2,1465.2419069468458,43,1,8,4,1
3,2,2129.937558635694,48,1,6,2,1
1,3,2124.368612018198,54,0,10,1,0
1,0,2280.374051819895,25,1,18,4,1
3,3,2128.803895069035,55,0,1,4,1
3,0,1670.5456157348578,41,1,10,3,1
4,2,2068.392912238218,44,1,19,2,1
3,4,2775.916897947536,38,1,4,2,1
1,0,461.9458635291924,27,1,10,1,0
3,1,575.5914556509945,60,0,9,5,1
3,0,552.7153850764942,47,1,8,2,1
2,2,215.1749148200228,69,0,19,2,0
1,0,491.1680368985593,32,1,5,4,1
0,0,524.5180544792061,31,1,5,1,1
4,3,2757.899644909666,64,1,15,3,1
2,2,2799.346438948092,56,0,13,2,0
4,1,1114.214987753367,49,1,18,4,1
1,0,1179.3182428524328,66,0,19,5,1
4,0,625.7117832001148,69,1,3,3,1
1,2,2486.702964202648,23,1,13,4,1
0,0,2868.88780823637,21,1,4,1,0
0,2,755.046164709569,27,1,2,3,0
2,3,2076.17235381794,20,0,12,1,0
4,4,2122.3773512012594,20,0,6,3,0
2,0,982.1411234780056,61,0,17,3,0
4,3,779.414017037289,23,1,5,1,0
0,1,1656.4964204860717,41,1,11,4,1
0,0,880.8493992782015,23,0,15,4,0
3,2,541.8376668976482,63,0,19,2,0
3,4,2619.4868048167164,69,0,4,1,0
1,0,2251.578708523308,32,1,8,3,1
2,4,929.4303730420954,43,1,8,2,1
2,4,436.3868370779754,24,1,17,2,0
1,1,337.1044125772981,29,0,8,1,0
2,2,2313.32676954434,28,1,19,3,0
0,2,827.5016642893104,51,0,1,4,1
2,3,1644.2563399647,60,0,8,4,1
3,2,2684.6253998517327,66,1,7,3,1
0,4,1709.5707112322962,40,0,5,3,0
0,3,2341.7215380894363,18,1,16,3,0
1,4,637.1456801378596,34,0,18,2,0
4,4,1448.6685179394576,29,1,12,3,0
4,2,2972.682154817706,28,0,8,2,0
1,2,1927.910522707294,67,1,6,3,1
2,1,2993.2855431068865,55,0,18,5,1
0,3,147.7220091179177,24,0,10,5,0
2,1,2886.601286847848,43,1,7,5,1
4,1,1330.3815125434378,45,0,19,4,1
3,3,1004.7127213605414,54,0,7,1,0
1,1,475.9583039735498,45,0,5,5,1
0,2,136.27816731370848,57,1,5,2,1
2,3,432.2311603606572,54,1,17,2,1
3,0,2693.5654816536858,21,1,10,1,0
0,4,2077.6915966684187,68,0,19,5,1
4,2,2549.6214872093688,43,0,2,4,1
2,4,1360.9954510249158,25,0,11,4,0
3,1,1602.6000907799903,53,0,13,3,0
1,4,2051.7761151562063,67,1,6,4,1
1,4,2576.653540881001,63,1,11,5,1
1,4,818.095257249494,43,0,11,1,0
0,0,2615.213691628329,43,0,5,2,0
1,4,2220.495527729198,32,0,9,1,0
4,4,2192.7830157136277,33,1,11,4,1
3,2,2911.7043375808234,60,1,2,2,1
0,3,1303.3025802771108,22,1,4,4,1
1,0,2003.186880787124,69,0,15,1,0
0,1,317.11977650744905,50,1,8,1,1
2,4,637.8896185116147,18,1,16,5,1
4,0,2461.1129112152094,35,1,17,3,1
1,1,674.3737947134676,53,1,4,2,1
1,3,1911.3435027971973,25,0,19,4,0
4,1,1474.9387032416348,36,0,1,4,1
3,1,1763.5771140812894,65,1,10,4,1
2,0,696.7081631375468,69,1,12,5,1
2,3,838.804482918348,61,1,2,3,1
1,3,452.7975372001477,68,1,18,2,1
0,1,770.7156642934658,31,0,3,5,1
2,0,1881.556904168855,50,1,1,3,1
0,1,494.2279015665524,62,0,1,1,0
4,4,1016.802166278006,37,1,4,2,1
0,3,2238.488005982101,51,1,6,3,1
0,0,1438.8199742838158,21,1,11,3,0
4,3,882.1006413393624,51,1,16,3,1
0,2,614.9482456562072,38,0,10,1,0
4,0,2666.1913047502967,38,0,18,4,1
3,0,552.8265337451097,49,1,5,4,1
4,1,594.4186835592377,49,1,14,3,1
0,2,1590.982087737582,38,1,11,4,1
0,2,2447.1702103274997,45,0,4,4,1
2,2,436.7545388104101,64,0,5,1,0
0,3,1009.242993840297,56,1,12,4,1
2,0,678.936972619985,20,0,10,3,0
1,0,1987.995058770632,19,0,12,2,0
1,1,967.7736432458684,21,0,1,1,0
0,2,1576.617834940013,66,0,18,3,0
2,0,1110.6237135384008,46,1,4,5,1
1,0,2683.6053189898957,61,0,2,2,0
0,2,1773.2619306111856,26,1,4,4,1
1,3,2050.937283202773,65,1,4,2,1
3,3,1636.4160689339842,58,0,15,5,1
1,1,2112.418694448786,61,0,2,5,1
0,2,1805.6479831028548,38,0,8,4,1
